0:00:00.000000,0.015625,-0.0234375,0.671875
0:00:00.020000,0.015625,-0.015625,0.65625
0:00:00.040000,0.015625,-0.0234375,0.6640625
0:00:00.060000,0.015625,-0.015625,0.671875
0:00:00.080000,0.0234375,-0.0234375,0.6640625
0:00:00.100000,0.015625,-0.0234375,0.6640625
0:00:00.120000,0.0078125,-0.0234375,0.6640625
0:00:00.140000,0.015625,-0.015625,0.671875
0:00:00.160000,0.015625,-0.0234375,0.65625
0:00:00.180000,0.015625,-0.0234375,0.6640625
0:00:00.200000,0.015625,-0.0234375,0.6640625
0:00:00.220000,0.015625,-0.0234375,0.65625
0:00:00.240000,0.015625,-0.0234375,0.6640625
0:00:00.260000,0.0078125,-0.0234375,0.6640625
0:00:00.280000,0.015625,-0.03125,0.671875
0:00:00.300000,0.015625,-0.03125,0.671875
0:00:00.320000,0.0078125,-0.015625,0.6640625
0:00:00.162000,0.015625,-0.0234375,0.671875
0:00:00.182000,0.015625,-0.0234375,0.6640625
0:00:00.202000,0.015625,-0.03125,0.6640625
0:00:00.222000,0.015625,-0.0234375,0.6640625
0:00:00.242000,0.0078125,-0.0234375,0.6484375
0:00:00.262000,0.015625,-0.0234375,0.65625
0:00:00.282000,0.015625,-0.0234375,0.671875
0:00:00.302000,0.015625,-0.0234375,0.6640625
0:00:00.322000,0.015625,-0.0390625,0.6640625
0:00:00.203000,0.0078125,-0.03125,0.6640625
0:00:00.223000,0.0078125,-0.03125,0.671875
0:00:00.243000,0.0078125,-0.0390625,0.671875
0:00:00.263000,0.0078125,-0.0390625,0.6640625
0:00:00.283000,0.0078125,-0.03125,0.65625
0:00:00.303000,0.0078125,-0.0390625,0.6640625
0:00:00.323000,0.0078125,-0.03125,0.6640625
0:00:00.184000,0.0078125,-0.046875,0.6640625
0:00:00.204000,0,-0.046875,0.671875
0:00:00.224000,0.0078125,-0.0390625,0.671875
0:00:00.244000,0.0078125,-0.046875,0.6640625
0:00:00.264000,0.0078125,-0.046875,0.671875
0:00:00.284000,0,-0.046875,0.671875
0:00:00.304000,0.0078125,-0.046875,0.6875
0:00:00.324000,0.0078125,-0.0546875,0.6875
0:00:00.185000,0.0078125,-0.078125,0.71875
0:00:00.205000,0.0234375,-0.0390625,0.7109375
0:00:00.225000,0.078125,0.0234375,0.6953125
0:00:00.245000,0.03125,-0.109375,0.75
0:00:00.265000,0.140625,-0.0546875,0.7265625
0:00:00.285000,0.15625,0.015625,0.703125
0:00:00.305000,0.2265625,-0.0078125,0.65625
0:00:00.325000,0.3203125,-0.15625,0.671875
0:00:00.186000,0.265625,0.3359375,0.4453125
0:00:00.206000,0.2109375,0.0859375,0.65625
0:00:00.226000,0.2578125,0,0.6328125
0:00:00.246000,0.2734375,-0.140625,0.6328125
0:00:00.266000,0.28125,-0.2265625,0.6484375
0:00:00.286000,0.28125,-0.1875,0.65625
0:00:00.306000,0.296875,-0.109375,0.640625
0:00:00.326000,0.3046875,-0.15625,0.6484375
-1 day, 23:59:55.889000,-0.1171875,-0.3046875,0.6484375
-1 day, 23:59:55.909000,-0.0703125,-0.3671875,0.65625
-1 day, 23:59:55.929000,0.015625,-0.3984375,0.6640625
-1 day, 23:59:55.949000,0.0859375,-0.296875,0.640625
-1 day, 23:59:55.969000,0.1015625,-0.2890625,0.6640625
-1 day, 23:59:55.989000,0.0625,-0.2734375,0.6640625
-1 day, 23:59:56.009000,0.375,0.453125,0.78125
-1 day, 23:59:56.029000,0.625,0.40625,0.796875
-1 day, 23:59:56.049000,0.5703125,0.734375,0.953125
-1 day, 23:59:56.069000,0.2265625,0.6953125,0.765625
-1 day, 23:59:56.089000,-0.1953125,0.46875,0.640625
-1 day, 23:59:56.109000,-0.0390625,0.0234375,0.8046875
-1 day, 23:59:56.129000,-0.0078125,-0.0625,0.6640625
-1 day, 23:59:56.149000,-0.015625,-0.0625,0.6640625
-1 day, 23:59:56.169000,-0.015625,-0.0546875,0.6640625
-1 day, 23:59:56.189000,-0.015625,-0.046875,0.671875
-1 day, 23:59:56.209000,-0.0234375,-0.046875,0.671875
-1 day, 23:59:56.229000,-0.0078125,-0.03125,0.6796875
-1 day, 23:59:56.249000,-0.015625,-0.03125,0.6796875
-1 day, 23:59:56.269000,-0.0078125,-0.0546875,0.6640625
-1 day, 23:59:56.278000,-0.03125,-0.0546875,0.6640625
-1 day, 23:59:56.298000,-0.015625,-0.0546875,0.6484375
-1 day, 23:59:56.318000,-0.015625,-0.0546875,0.6640625
-1 day, 23:59:56.338000,-0.015625,-0.046875,0.6640625
-1 day, 23:59:56.358000,-0.0546875,-0.0546875,0.671875
-1 day, 23:59:56.378000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:56.398000,-0.03125,-0.046875,0.671875
-1 day, 23:59:56.418000,-0.0390625,-0.046875,0.6875
-1 day, 23:59:56.438000,-0.046875,-0.0625,0.6640625
-1 day, 23:59:56.458000,-0.015625,-0.046875,0.6640625
-1 day, 23:59:56.478000,0,-0.0546875,0.6640625
-1 day, 23:59:56.498000,0,-0.0546875,0.6640625
-1 day, 23:59:56.518000,-0.0078125,-0.046875,0.6640625
-1 day, 23:59:56.538000,0,-0.046875,0.65625
-1 day, 23:59:56.558000,-0.0078125,-0.046875,0.6640625
-1 day, 23:59:56.578000,0,-0.0390625,0.6640625
-1 day, 23:59:56.598000,0,-0.0390625,0.65625
-1 day, 23:59:56.618000,0,-0.0390625,0.65625
-1 day, 23:59:56.638000,0,-0.0390625,0.6640625
-1 day, 23:59:56.658000,-0.0078125,-0.0390625,0.671875
-1 day, 23:59:56.676000,-0.0078125,-0.0390625,0.65625
-1 day, 23:59:56.696000,-0.0078125,-0.046875,0.6640625
-1 day, 23:59:56.716000,0,-0.0390625,0.6640625
-1 day, 23:59:56.736000,-0.0078125,-0.03125,0.6640625
-1 day, 23:59:56.756000,0,-0.0390625,0.65625
-1 day, 23:59:56.776000,0,-0.0390625,0.6640625
